메뉴코드	메뉴명	프로그램ID	전체경로	상위메뉴코드
registerService	전자업무	/reg	전자업무	
SRV	서비스	#	서비스	
test1	테스트 페이지		테스트 페이지	
SETTINGS	설정/관리		설정/관리	
SYS_BBS	게시판	#	게시판	
DEVELOPER_GUID_MANAGEMENT	개발가이드		개발가이드	
SAMPLE	샘플페이지		샘플페이지	
DEVELOPER_FUNCTION	기능 가이드	#	개발가이드 > 기능 가이드	DEVELOPER_GUID_MANAGEMENT
DEVELOPER_GUID	개발가이드		개발가이드 > 개발가이드	DEVELOPER_GUID_MANAGEMENT
SAMPLE_PAGE	샘플페이지		샘플페이지 > 샘플페이지	SAMPLE
USER_MANAGEMENT	사용자 관리		설정/관리 > 사용자 관리	SETTINGS
GROUP_MANAGEMENT	소속/그룹관리		설정/관리 > 소속/그룹관리	SETTINGS
MENU_MANAGEMENT	메뉴관리		설정/관리 > 메뉴관리	SETTINGS
SYSTEM_MANAGEMENT	시스템관리		설정/관리 > 시스템관리	SETTINGS
SYS_BBS_MST	게시판 관리	#	설정/관리 > 게시판 관리	SETTINGS
SRV_REG	등록 서비스	#	서비스 > 등록 서비스	SRV
SRV_VHCL_PLT_MNG	자동차 등록 번호판 관리	/reg	서비스 > 자동차 등록 번호판 관리	SRV
SRV_VHCL_USER_MNG	자동차 사용자 관리	/reg	서비스 > 자동차 사용자 관리	SRV
BBS_LIST	게시판 목록	#	게시판 > 게시판 목록	SYS_BBS
E_WORK	전자업무	#	전자업무 > 전자업무	registerService
E_WORK_PROC	전자 업무 최종 처리	#	전자업무 > 전자 업무 최종 처리	registerService
test11	테스트 페이지 목록	#	테스트 페이지 > 테스트 페이지 목록	test1
BASIC	기본형 게시판	/cms	게시판 > 게시판 목록 > 기본형 게시판	BBS_LIST
6d827cc7-f881-4a72-b482-2e48c3268637	자유게시판	cms	게시판 > 게시판 목록 > 자유게시판	BBS_LIST
ec9302c6-e509-4250-a518-e2c7fe9fe161	갤러리	cms	게시판 > 게시판 목록 > 갤러리	BBS_LIST
